Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-09_21:27:45_t0,16,100000000,1000,0.5,99.9815515625,99.97473252604586,0.0218253125,888914.05,1198498.9990000024,408886.0,1107166.509999999,0.18445698088039128,1.0,16008100.0,100.050625,110.0,234700,103900,198297,55000,1599300620,29050,324316,246750,167775.9856873823,0,210.0909090909091,0,0.0,0.0,0.0,0,0.0,0,431227.96783501003,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t1,17,100000000,1000,0.5,97.72296988235294,96.97709495342635,2.517602,60546.14999999991,186552.05900000082,17876.0,107044.42999999993,15.416027213473264,1.1407270922125374,16119080.0,94.81811764705881,14840.0,32246800,9382600,28953736,7420000,1611071254,3589011,51092791,34161658,20392.1616346829,0,276.0040431266846,0,0.0,0.0,0.0,0,0.0,0,22602.181464061698,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t10,26,100000000,1000,0.5,81.82499830769231,75.67623024266335,18.054078,36200.0,125916.04400000023,9881.0,70954.21999999997,40.483591972031306,1.151386395915573,16119290.000000002,61.997269230769234,96170.0,326498400,111811400,257868825,48070001,1609973927,37804461,726218974,225955931,11301.801958767452,0,353.46739469578785,0,0.0,0.0,0.0,0,0.0,0,12361.98510009452,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t11,27,100000000,1000,0.5,80.21885392592593,74.3911601706697,18.75274740740741,34044.0,151113.72500000126,9635.0,69155.0,41.30147620505269,1.1502584013834822,16119260.0,59.70096296296297,96720.0,355619600,116640500,278109707,48340001,1611244875,41019197,812871615,234816902,11018.801336409222,0,359.9631813010653,0,0.0,0.0,0.0,0,0.0,0,11979.277300003585,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t12,28,100000000,1000,0.5,78.43588017857142,73.34546999831156,19.18064375,32772.0,136217.4040000122,9483.0,66963.54000000004,41.94690838994701,1.147218492215197,16119240.0,57.568714285714286,96700.0,380066400,120767400,294980433,48330001,1610816619,43691633,903753598,241693601,10661.124918437485,0,369.9147615599462,0,0.0,0.0,0.0,0,0.0,0,11614.155982113432,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t13,29,100000000,1000,0.5,76.5735668275862,72.5115769872506,19.413521103448275,32227.0,135342.10900000203,9343.0,72265.58000000007,42.70196184414453,1.1483370467241436,16119229.999999998,55.583551724137926,94920.0,402305700,122518600,310567753,47425001,1610216325,46003746,997497491,246238316,10630.385658238883,0,369.74878768711784,0,0.0,0.0,0.0,0,0.0,0,11509.28527955038,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t14,30,100000000,1000,0.5,74.90119693333334,71.64444151819936,19.685152666666667,30434.0,124311.52500000014,9186.0,65584.25,42.956036501121005,1.1434099382570413,16119270.000000002,53.730900000000005,93270.0,424107400,125234200,331333630,46605001,1609876327,48897191,1085675933,255511379,10098.160664904417,0,392.0561038403776,0,0.0,0.0,0.0,0,0.0,0,11027.23309451518,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t15,31,100000000,1000,0.5,72.45660148387097,71.87685758302858,18.861266741935484,27802.0,131769.3720000023,9140.0,59601.62000000011,42.43996773459637,1.1414846835255914,16119200.0,51.99741935483871,94050.0,418656300,119884300,333362617,46990001,1614465376,49712071,1177897908,257879655,9837.462397190287,0,399.1419299925524,0,0.0,0.0,0.0,0,0.0,0,10657.000649444662,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t16,32,100000000,1000,0.5,60.8119795,82.69979411499013,8.184503875,59038.39999999991,157067.1240000024,13778.0,103913.31999999983,34.46854189691083,1.2285288528852885,16119030.0,50.37196874999999,149620.0,193254700,41681000,167998042,74755001,1609324219,23223111,1335389122,231996021,20037.211543154317,0,363.1451979668272,0,0.0,0.0,0.0,0,0.0,0,19142.4453050185,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:27:45_t2,18,100000000,1000,0.5,95.21314033333333,93.96177515007636,4.885850166666667,55249.69999999995,177517.14600000414,15210.0,103215.36000000034,21.734586171212445,1.1532102787285132,16119169.999999998,89.55094444444444,31080.0,63803000,21332800,55117314,15540000,1610351223,7375760,116892386,65296758,18612.502555090672,0,293.82689832689834,0,0.0,0.0,0.0,0,0.0,0,19783.34976321419,0,0,0,0,0,0,"dr ws nowarn fromdr staticd"
