Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-08_15:38:53_t0,16,100000000,1000,0.5,99.9866631875,99.97909477440926,0.0187149375,1018334.2,1573957.176000001,423783.0,1439654.44,0.16546707094096627,1.0,16004069.999999998,100.0254375,70.0,206900,80200,168891,35000,1599452172,24038,238100,182271,272700.997900042,0,201.0,0,0.0,0.0,0.0,0,0.0,0,471196.67090955464,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t1,17,100000000,1000,0.5,97.666488,96.94719435511644,2.5483327647058824,64404.0,242736.53700000374,18256.0,124622.0,15.340448415653182,1.1483164347607233,16118899.999999998,94.8170588235294,14730.0,32640500,9396600,29229466,7365000,1609643639,3671747,52495050,34101255,22511.200239096826,0,278.3292600135777,0,0.0,0.0,0.0,0,0.0,0,23918.331811726097,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t10,26,100000000,1000,0.5,81.7325511923077,75.87285399284784,17.883770384615385,38016.0,152088.13600000087,9937.0,77990.0,40.69765117027826,1.1563511128126769,16119169.999999998,61.996807692307684,95520.0,325563100,108938000,256027295,47735001,1612333300,37427042,725922419,224267517,11855.571764474696,0,348.4802052785924,0,0.0,0.0,0.0,0,0.0,0,12811.498431884353,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t11,27,100000000,1000,0.5,80.03238414814815,74.60779399719772,18.540135962962964,36290.14999999991,134802.4140000008,9700.0,74540.37999999989,41.38470214646482,1.1528713458475768,16119280.0,59.70103703703704,96260.0,351272800,116119400,274343850,48110001,1612180700,40193416,814414714,233164598,11282.797514809854,0,360.9175932661332,0,0.0,0.0,0.0,0,0.0,0,12277.362385365375,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t12,28,100000000,1000,0.5,78.59555585714287,73.28011290627481,19.294929464285715,32803.0,133902.0,9437.5,65888.08000000007,42.29327792156219,1.1469044898305167,16119240.0,57.568714285714286,95580.0,382959200,120914600,295745364,47760001,1612657538,43754794,901833602,241708062,10566.447085595799,0,378.08269653511985,0,0.0,0.0,0.0,0,0.0,0,11555.299687550414,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t13,29,100000000,1000,0.5,76.78327586206896,72.4317495952558,19.535564344827584,30468.0,128853.07500000321,9278.0,64630.5,42.71535688973827,1.1410706676824152,16119260.0,55.58365517241379,94740.0,406033600,122501900,311197955,47335001,1612848633,46336557,993657549,247109092,10169.608550040673,0,368.92015209125475,0,0.0,0.0,0.0,0,0.0,0,11124.607164130948,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t14,30,100000000,1000,0.5,75.0004892,71.59181325268831,19.757112333333332,29339.0,118200.24400000647,9156.0,60947.23999999999,43.015090897684004,1.1401452741038973,16119270.000000002,53.730900000000005,93010.0,426075400,125120200,331303468,46475001,1610826305,49374635,1085427189,254328213,9816.584378866657,0,385.4201807228916,0,0.0,0.0,0.0,0,0.0,0,10804.920778474943,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t16,32,100000000,1000,0.5,60.8342526875,82.66166319296745,8.20749134375,60590.0,155865.5660000001,13798.0,104191.0,34.50185633964983,1.243895713061046,16118850.0,50.37140625000001,149900.0,193867400,41896500,169255652,74885001,1609171362,23584528,1334955676,232220864,20232.709182358267,0,384.4791694485245,0,0.0,0.0,0.0,0,0.0,0,19316.981986093826,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t2,18,100000000,1000,0.5,95.25455555555556,93.96963236520621,4.896422111111111,58124.0,172604.1340000024,15147.0,103451.0,21.730194461585135,1.1619243728940472,16118650.000000002,89.54805555555558,30520.0,64354100,20904100,55850147,15260000,1611186402,7472678,116285401,64972223,18598.17712847978,0,284.1589121887287,0,0.0,0.0,0.0,0,0.0,0,20052.248452339503,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
ab-02.ucsd.edu_22-09-08_15:38:53_t3,19,100000000,1000,0.5,92.97079831578947,91.1076384455314,7.074667894736843,55402.0,183407.0720000118,13830.0,98557.43999999994,26.33308352631902,1.168996384334034,16119030.0,84.83699999999999,45330.0,96234800,33678800,81666838,22660001,1609366477,11332527,185839402,93389126,17890.793744714607,0,293.48003529671297,0,0.0,0.0,0.0,0,0.0,0,18587.650094832443,0,0,0,0,0,0,"varycores manycores dr ws nowarn fromdr"
