Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-07_14:21:11_t0,32,100000000,1000,0.1,65.24332525,77.09817651040096,12.517223656250001,48140.0,146349.35700000986,7184.0,89405.0,40.133504174588744,1.179001156894853,16127389.999999998,50.398093749999994,155280.0,314698400,50513600,250810021,77590001,1609645250,36825607,1288754342,264706568,11949.463281461876,0,469.1978864617566,0,0.0,0.0,0.0,0,0.0,0,12723.462275770853,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t1,32,100000000,1000,0.2,65.3483680625,77.19584799233638,12.46401615625,49775.80000000005,146082.6240000024,7203.0,92759.3600000001,40.02714872886757,1.1856223102082974,16123640.000000002,50.38637500000001,156120.0,312742700,50670600,249711830,78020001,1614279260,36662064,1283486367,265500776,12299.559054914787,0,466.2475488625441,0,0.0,0.0,0.0,0,0.0,0,12987.16455574964,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t2,32,100000000,1000,0.3,65.32948040625,76.98828427990716,12.607653031249999,49550.0,145038.21600000095,7197.0,92919.0,40.136429370138906,1.188257326725705,16125460.000000002,50.3920625,155360.0,317522000,50504600,252732093,77625001,1609473475,37030973,1287949638,265472954,12299.467056555644,0,464.1652067499678,0,0.0,0.0,0.0,0,0.0,0,13017.60094650373,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t3,32,100000000,1000,0.4,65.43033259375,76.9752970024807,12.61935846875,49944.0,145688.59000000078,7252.0,90671.19999999972,40.115979887450735,1.1810157709638422,16127300.0,50.39781250000001,156560.0,317307200,50741900,253663374,78265001,1611686171,37246671,1283883569,267112679,12337.746606769975,0,466.53091861505044,0,0.0,0.0,0.0,0,0.0,0,13110.89844802157,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t4,32,100000000,1000,0.5,65.55167284375,76.93619719127963,12.69855228125,49479.0,152881.22000000137,7144.0,91811.80000000028,40.32307733643073,1.1857267822301496,16126399.999999998,50.395,154930.0,319859900,50347300,254774969,77445001,1613854857,37348678,1282670375,266053974,12273.080988406064,0,465.1368624919303,0,0.0,0.0,0.0,0,0.0,0,13007.616211323,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t5,32,100000000,1000,0.6,65.71001396875,76.76703064846356,12.840606125,47184.0,149880.75100000273,7111.0,89900.40999999992,40.32335395340507,1.1792048626652407,16127599.999999998,50.39874999999999,155280.0,324225300,50304700,257751993,77625001,1614196050,37872879,1279984184,267879277,11832.49965320368,0,475.5173257761175,0,0.0,0.0,0.0,0,0.0,0,12646.595626386345,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t6,32,100000000,1000,0.7,65.56594571875,76.8454070518981,12.7560590625,49521.09999999986,144237.05200000107,7177.0,90243.3599999994,40.11982152833413,1.1812919919711953,16127579.999999998,50.398687499999994,155290.0,320899200,50321200,257312420,77615001,1612301372,37968173,1281822627,267839576,12170.038385791282,0,476.7889074980675,0,0.0,0.0,0.0,0,0.0,0,12972.478914814017,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t7,32,100000000,1000,0.8,65.56315396875,76.85495455498858,12.756340499999999,52056.25,154998.2450000043,7163.0,97337.44999999995,40.5412852631753,1.189415822741793,16127550.0,50.398593749999996,154850.0,321365700,50166400,256266948,77385001,1612433030,37430488,1283609355,266455016,12936.539567049547,0,480.4565189300943,0,0.0,0.0,0.0,0,0.0,0,13362.441926324143,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t8,32,100000000,1000,0.9,65.3543545625,77.06080713693989,12.578323906249999,51758.0,148340.06500000064,7196.0,93065.20000000019,40.363904147429885,1.188955884636849,16127450.000000002,50.39828125,154550.0,316780600,50249700,252870911,77230001,1611602980,37144684,1285415674,265764889,12565.575947066343,0,477.2304007250599,0,0.0,0.0,0.0,0,0.0,0,13312.181815676824,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
ab-02.ucsd.edu_22-09-07_14:21:11_t9,32,100000000,1000,1.0,65.135699875,77.34094854538476,12.31069421875,51675.0,152946.25600000098,7401.0,96942.15999999992,39.974568999679526,1.1917710443515366,16120840.0,50.377625,156800.0,308835000,50791900,244890669,78350001,1612050180,35829434,1289171538,262871790,13079.383614499375,0,471.38682917490905,0,0.0,0.0,0.0,0,0.0,0,13640.478989789695,0,0,0,0,0,0,"nowarn varyload morecores nodown delay range"
