Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-03.ucsd.edu_22-09-06_23:17:55_t0,4,100000000,1000,0.5,99.97480924999999,99.99799949605806,0.002,72919921.0,75127905.9,52680834.0,74712297.5,0.0,0,4002500.0,100.06249999999999,0.0,1800,6200,1683,0,399891237,732,6707,561,0,0,0,0,0.0,0.0,0.0,0,0.0,0,52677778.61077729,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t1,8,100000000,1000,0.5,99.98617250000001,99.99741214216395,0.0025875,48292644.05,50436466.67400001,30134308.0,49906365.69,0.0,0,8010590.0,100.13237499999998,0.0,10000,10700,8242,0,799868680,1980,16386,2393,0,0,0,0,0.0,0.0,0.0,0,0.0,0,30166779.73456935,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t10,23,100000000,1000,0.5,84.65600913043478,82.7304599620579,13.39144247826087,23826.0,120650.61100000096,5768.0,59682.0,40.90979231593769,1.1493875640304585,16127270.0,70.1185652173913,56550.0,246208300,44714800,204923876,28250001,1610835032,30125054,448452697,210535295,6787.964483091918,0,294.00477791541323,0,0.0,0.0,0.0,0,0.0,0,7317.04343743714,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t11,24,100000000,1000,0.5,82.05273050000001,81.80965135584367,13.755052708333334,19153.0,127678.00700000697,5641.0,53940.48999999999,41.663428976090685,1.1470929617333103,16127510.000000002,67.19795833333335,56230.0,265134300,45817200,220705286,28095001,1611049266,32709832,535843102,220347542,6435.386114270976,0,290.9806049822064,0,0.0,0.0,0.0,0,0.0,0,6756.330133530626,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t13,32,100000000,1000,0.5,60.6537630625,83.05293200331514,8.6193469375,45884.0,151856.7100000009,6993.0,91671.55000000028,37.35453578240593,1.1941523164758945,16123150.0,50.384843749999995,106300.0,226583400,25104000,195310395,53110001,1611991315,28808261,1324052407,235074327,12205.191032937031,0,340.09498258495717,0,0.0,0.0,0.0,0,0.0,0,11969.181998406853,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t2,12,100000000,1000,0.5,99.99157116666667,99.99690657259349,0.003093166666666667,24560721.0,25980346.698000006,14565738.5,25474064.79,0.0,0,11989030.0,99.90858333333333,0.0,16500,17600,19629,0,1199861736,3266,24918,8934,0,0,0,0,0.0,0.0,0.0,0,0.0,0,14549936.687909277,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t3,16,100000000,1000,0.5,99.992281625,99.98064725628267,0.01872625,999727.8,1329829.3440000005,387189.0,1225833.1600000006,0.16185968219300045,1.0137516115169747,15987640.0,99.92275000000001,20.0,268300,24200,274962,10000,1599566886,27845,45899,250933,250653.87451654492,0,201.0,0,0.0,0.0,0.0,0,0.0,0,449776.4305203229,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t4,17,100000000,1000,0.5,98.43903088235294,96.31328355364064,3.25446205882353,39540.0,148624.2990000043,8814.0,79633.93999999994,21.176213645075904,1.1319319501696692,16125529.999999998,94.8560588235294,12740.0,48250000,6087700,44720861,6370000,1611767670,5228030,34530508,48389994,10095.66232760612,0,250.91130298273154,0,0.0,0.0,0.0,0,0.0,0,12243.992388322331,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t5,18,100000000,1000,0.5,96.72347788888888,92.5103939001017,6.518374166666667,35506.0,138820.86200000113,7211.0,75881.0,28.985190737459387,1.1478155668640235,16126229.999999998,89.59016666666666,26130.0,98652600,15694700,87112723,13065000,1610626867,11379964,85139832,92783118,8686.919964727722,0,263.5243015690777,0,0.0,0.0,0.0,0,0.0,0,10201.050845869582,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
ab-03.ucsd.edu_22-09-06_23:17:55_t6,19,100000000,1000,0.5,94.54322331578948,89.64350448312324,8.786627789473684,34947.0,153240.18200000492,6733.0,76649.78000000003,33.26325085783292,1.1530701636302259,16127220.000000002,84.8801052631579,38190.0,136848000,25351400,117494425,19090001,1610285314,16182665,146403918,127063376,8579.632168530228,0,270.222833202409,0,0.0,0.0,0.0,0,0.0,0,9805.377650395454,0,0,0,0,0,0,"varycores delayrange warn 7ms delay"
