Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-09_16:43:47_t0,16,100000000,1000,0.5,99.9934025625,99.97392190451396,0.025763875000000002,829886.8999999994,1313843.6330000001,350875.0,1177035.9800000004,0.21654188374082178,1.0,16018180.0,100.11362500000001,10.0,290000,113100,238476,5000,1599477219,36091,228320,156096,224675.11093299135,0,201.0,0,0.0,0.0,0.0,0,0.0,0,379581.7630897104,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t1,17,100000000,1000,0.5,97.84218770588235,96.88025830065506,2.640364705882353,57561.0,151758.2940000007,18246.0,97298.97999999998,15.298955084346122,1.1345626937774893,16119020.000000002,94.81776470588235,14010.0,33357200,10503200,29617283,7005000,1611425991,3770585,51416154,33297383,20071.769147919822,0,294.7294789436117,0,0.0,0.0,0.0,0,0.0,0,22352.067955368395,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t10,26,100000000,1000,0.5,82.03526626923076,75.5550820860546,17.98633807692308,36635.59999999986,130233.06400000025,9971.0,71586.32000000007,40.16831797163538,1.1526992305566663,16119200.0,61.99692307692308,107530.0,324447000,113203400,253048810,53745001,1611527132,36925595,726958236,224541648,11465.326574887278,0,374.5916279069767,0,0.0,0.0,0.0,0,0.0,0,12464.554273135103,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t11,27,100000000,1000,0.5,80.56297744444444,73.96908200537374,18.91035662962963,33689.14999999991,132595.44300000183,9756.0,68856.22999999998,40.798136890045896,1.1500266996525665,16119280.0,59.70103703703704,111320.0,356632300,121192500,274633689,55645001,1608975761,40205228,815800503,234972161,10947.420017642049,0,404.0863432165319,0,0.0,0.0,0.0,0,0.0,0,11947.172814065432,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t12,28,100000000,1000,0.5,79.12360817857143,72.71245090359926,19.544286250000003,32556.0,131492.71000000183,9627.0,69961.20000000019,41.39834577871602,1.1468913569514598,16119220.0,57.56864285714286,114670.0,381946100,130294200,292472532,57305001,1610916013,42604410,904405369,242027986,10789.24971230917,0,428.85718024777526,0,0.0,0.0,0.0,0,0.0,0,11768.69344923132,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t13,29,100000000,1000,0.5,77.57452431034483,71.63098267501128,19.996785379310346,30630.0,124769.10800000234,9457.0,66484.56000000052,42.003724312618886,1.1419497054580132,16119189.999999998,55.58341379310344,116640.0,406892600,135206300,309686202,58300001,1611454428,45288297,995134445,248079949,10324.245890445809,0,449.630477660578,0,0.0,0.0,0.0,0,0.0,0,11314.817891316532,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t14,30,100000000,1000,0.5,76.64428596666667,70.07346817307575,20.9994766,28315.199999999953,132337.48000000417,9212.0,60771.0,42.95000885915461,1.1397540852033774,16119270.000000002,53.730900000000005,116300.0,446875100,141770500,339787477,58125001,1611219280,49869293,1081080305,257787576,9883.637375196635,0,501.8582487527955,0,0.0,0.0,0.0,0,0.0,0,10805.90520359854,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t15,31,100000000,1000,0.5,74.38642929032258,69.92420679604815,20.424566677419353,27635.0,123864.17600000091,9206.0,59095.21999999997,42.48065639006149,1.1357832946266715,16119290.000000002,51.99770967741936,120820.0,444540900,141174500,345200859,60380001,1612437740,50401196,1175026649,262093125,9774.951937199456,0,535.2946923904943,0,0.0,0.0,0.0,0,0.0,0,10681.965143928315,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t16,32,100000000,1000,0.5,62.383305093749996,80.65324797137244,9.3327370625,56197.0,148768.6550000019,13312.0,92854.33000000007,35.1359699076436,1.2128872371653494,16119180.0,50.372437500000004,175240.0,218836300,51212900,184343097,87565001,1610053176,25548991,1323953071,240377707,18291.559320770117,0,444.3516615279205,0,0.0,0.0,0.0,0,0.0,0,18238.23826309853,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
ab-02.ucsd.edu_22-09-09_16:43:47_t2,18,100000000,1000,0.5,95.79929788888889,93.32123671641709,5.5829305555555555,50343.0,149076.0,14615.0,86020.0,22.41469888655245,1.145016824867585,16119000.000000002,89.55000000000001,29350.0,71650300,26148000,61115461,14675000,1609219612,8340014,116693387,65668669,16678.133236341713,0,310.55843270868826,0,0.0,0.0,0.0,0,0.0,0,18306.034231445414,0,0,0,0,0,0,"dr ws warn delay 0ms fromdr"
