Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-09_21:29:17_t0,16,100000000,1000,0.5,99.9915628125,99.97293884179935,0.025808875,973811.6999999997,1462491.3860000025,342915.0,1391909.4800000004,0.1517296695796261,1.0,16001930.000000002,100.01206250000001,40.0,267100,126500,212161,20000,1599432063,35675,269353,162219,273794.2501145213,0,201.0,0,0.0,0.0,0.0,0,0.0,0,415131.94223499263,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t1,17,100000000,1000,0.5,97.95306282352941,96.61777984292054,2.8932823529411764,52826.0,168491.44000000134,16941.0,94593.20000000019,16.192329807521272,1.138673513269551,16118960.000000002,94.81741176470588,14270.0,36460300,11563300,32245466,7135000,1608881268,4061678,51891995,35075560,19195.02606222404,0,295.614576033637,0,0.0,0.0,0.0,0,0.0,0,20660.282445537443,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t10,26,100000000,1000,0.5,81.95478288461538,75.67077338948475,17.837426346153844,36959.0,137168.30500000156,10064.0,76091.22999999998,39.89360748663544,1.153148373449835,16119280.0,61.99723076923077,109300.0,320781600,113468900,250074815,54640001,1612411269,36267302,727675121,223597424,11755.719328503685,0,388.4768048311831,0,0.0,0.0,0.0,0,0.0,0,12726.576793994807,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t11,27,100000000,1000,0.5,80.78017914814815,73.8256686222483,19.06107914814815,35857.0,141359.05100000184,9728.0,75722.29000000004,41.18307695701813,1.1518425577007745,16119220.0,59.70081481481482,112510.0,357751700,123621700,277566023,56230001,1610185699,40526647,813594937,235641216,11359.483846126803,0,416.04605672623813,0,0.0,0.0,0.0,0,0.0,0,12254.231805922485,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t12,28,100000000,1000,0.5,79.07634842857144,72.80673551731802,19.444333392857143,33117.0,138374.05000000028,9608.0,69953.25,41.58889909243586,1.1493442875685675,16119260.0,57.56878571428571,115360.0,380345300,129394400,290863680,57655001,1612041420,42384064,904262814,241265817,10881.31441208016,0,435.57249392993407,0,0.0,0.0,0.0,0,0.0,0,11802.405677860233,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t13,29,100000000,1000,0.5,77.93371679310344,71.17425949906033,20.456695068965516,30127.0,123507.13200000627,9371.0,60969.0,42.38891006977743,1.13851453553619,16119189.999999998,55.58341379310344,116540.0,417251900,137812700,315951835,58240001,1608593629,46215710,996299104,248847244,10063.75293817233,0,479.92952184736885,0,0.0,0.0,0.0,0,0.0,0,11087.502637422793,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t14,30,100000000,1000,0.5,76.69939226666666,69.996346968013,21.070286166666666,29335.449999999953,117738.40600000136,9220.0,60957.29000000004,43.07618485568835,1.1369108590158896,16119220.0,53.73073333333333,116610.0,448229000,142828400,338170058,58270001,1610603182,49476969,1084927694,254946953,9756.043075632835,0,494.3577005577006,0,0.0,0.0,0.0,0,0.0,0,10846.367348697528,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t15,31,100000000,1000,0.5,74.71447161290322,69.61277022888109,20.76430329032258,27582.0,120357.04400000349,9126.0,58752.0,42.54601260830957,1.1369867675225809,16119229.999999998,51.99751612903225,120320.0,450062400,143586000,355071736,60120001,1612335217,52406690,1169288560,265930012,9630.383254094031,0,554.9694802494803,0,0.0,0.0,0.0,0,0.0,0,10563.757365878142,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t16,32,100000000,1000,0.5,62.42586328125,80.61551271348682,9.37265225,56622.0,153230.8330000022,13106.0,98017.47999999952,35.16778079290489,1.2115719393996425,16119140.0,50.37231250000001,174730.0,220409300,51028100,185150826,87305001,1610397752,25834472,1323803545,239896839,18368.717835466265,0,455.06213492154393,0,0.0,0.0,0.0,0,0.0,0,18105.77391234805,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
ab-02.ucsd.edu_22-09-09_21:29:17_t2,18,100000000,1000,0.5,95.90287055555555,93.25531514185298,5.6794575,52031.0,166717.60000000568,14591.0,90829.43999999994,22.453888670949915,1.1450424337701577,16119070.0,89.55038888888889,28400.0,73563600,25860700,62595924,14200000,1609821435,8557375,115922087,65622853,16835.191679664953,0,307.60140845070424,0,0.0,0.0,0.0,0,0.0,0,18593.134616882817,0,0,0,0,0,0,"dr ws warn delay 7ms fromdr staticd"
