Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-05_22-09-12_16:55:59_t0,16,100000000,1000,0.5,99.99104925,99.97242615693425,0.026008875,1123385.6999999997,1299029.2350000008,413701.0,1221715.47,0.17876111862136754,1.0,15980040.0,99.87525000000001,50.0,289800,114100,233820,25000,1599415646,35865,260456,185610,292684.92095015576,0,221.0,0,0.0,0.0,0.0,0,0.0,0,486677.0801188121,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t1,17,100000000,1000,0.5,97.93650352941177,96.77965409953254,2.747129470588235,58012.0,168973.48600000143,17934.0,98198.81000000006,15.333765392093323,1.1368095897555799,16118700.0,94.81588235294117,13830.0,34205700,11334700,29915690,6915000,1611304359,3809410,51725996,33074163,19969.920630923905,0,285.39045553145337,0,0.0,0.0,0.0,0,0.0,0,22088.491321134567,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t10,26,100000000,1000,0.5,81.95514096153846,75.57914455983592,17.92780030769231,36926.0,149323.32400000282,10035.0,73758.27000000002,39.95204326309882,1.155221624382651,16119240.0,61.99707692307692,108530.0,322796000,113786800,251174635,54245001,1610465856,36634448,728853276,223996237,11765.926813737502,0,381.9751152073733,0,0.0,0.0,0.0,0,0.0,0,12694.433359715513,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t11,27,100000000,1000,0.5,80.5541222962963,74.00248172323573,18.87281337037037,34467.0,143075.17500000587,9833.0,72253.08000000007,40.549916785823115,1.1525674724482544,16119240.0,59.70088888888889,111790.0,354172100,122283100,274892128,55870001,1609525340,40319448,814633169,235471952,11296.03285297008,0,414.4834004474273,0,0.0,0.0,0.0,0,0.0,0,12198.084806759722,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t12,28,100000000,1000,0.5,79.09660542857144,72.71093011941755,19.532585035714288,33198.0,131830.0460000015,9641.0,69015.0,41.321429186990464,1.1474413413040976,16119250.000000002,57.56875,114970.0,382072800,129207800,291588707,57460001,1610332570,42662996,905703311,241256649,10771.194446715397,0,429.9599756373445,0,0.0,0.0,0.0,0,0.0,0,11804.199322290973,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t13,29,100000000,1000,0.5,77.80560334482759,71.37881537835186,20.265437068965518,31085.0,133645.9500000053,9425.0,65543.0,42.16905346934386,1.144400737674364,16119260.0,55.58365517241379,116260.0,412575800,136796600,313184282,58100001,1610564821,45820089,995677114,247888702,10388.526497093118,0,459.62335427243784,0,0.0,0.0,0.0,0,0.0,0,11340.144658718931,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t14,30,100000000,1000,0.5,76.76035563333333,69.97705011935568,21.101389733333335,28173.0,125664.55200000107,9212.0,57646.0,42.86449018875157,1.1344018399974265,16119280.0,53.73093333333333,116740.0,447009700,144443600,336956781,58330001,1611438976,49307253,1084550355,254660123,9744.557913275647,0,493.9241450244279,0,0.0,0.0,0.0,0,0.0,0,10708.737545140291,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t15,31,100000000,1000,0.5,74.54799067741935,69.73674937036478,20.613225870967742,27349.0,126307.06700000493,9146.0,56739.27000000002,42.73044535786233,1.136679283762024,16119240.0,51.99754838709677,120840.0,448564000,142501800,347759721,60370001,1611607708,51193279,1176104111,261052306,9635.419176371504,0,543.479420289855,0,0.0,0.0,0.0,0,0.0,0,10535.647813059732,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t16,32,100000000,1000,0.5,62.3027721875,80.83229357305234,9.2076374375,57291.0,153231.79400000093,13296.0,96584.61999999918,35.20430429264116,1.2146883029391489,16119090.0,50.37215625,175100.0,215343700,51165500,182129601,87500001,1611544311,25213258,1323532401,239637382,18737.58101851852,0,456.0851379921147,0,0.0,0.0,0.0,0,0.0,0,18461.885508656225,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
ab-05_22-09-12_16:55:59_t2,18,100000000,1000,0.5,95.83456644444445,93.4184420198614,5.503796444444444,52319.89999999991,174024.17400000058,14835.0,91284.0,22.177746278452805,1.1478913958505605,16119220.0,89.55122222222222,28930.0,70890600,25574300,60632041,14465000,1611488860,8224471,115367646,64836373,17414.435495302816,0,301.7780850328379,0,0.0,0.0,0.0,0,0.0,0,18879.223947101356,0,0,0,0,0,0,"fff dr warn 5ms fromdr"
