Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-06_00:00:04_t0,4,100000000,1000,0.5,99.97361599999999,99.99847459753781,0.0015249999999999999,72920577.0,75211991.46800001,52665682.0,74728713.84,0.0,0,4003920.0,100.098,0.0,1500,4600,1259,0,399888364,239,5523,338,0,0,0,0,0.0,0.0,0.0,0,0.0,0,52677699.48505389,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t1,8,100000000,1000,0.5,99.98641875,99.99759967400573,0.0024000000000000002,48467682.5,50579878.068000026,30369684.0,50082104.78,0.0,0,7981820.000000001,99.77275000000002,0.0,7000,12200,7943,0,799872150,1285,14508,3447,0,0,0,0,0.0,0.0,0.0,0,0.0,0,30347990.142692555,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t10,23,100000000,1000,0.5,93.25121686956521,75.16886078746907,22.09990469565217,31741.0,140397.11200000113,5378.0,73628.12000000011,47.40581228657892,1.142443828959873,16127480.0,70.11947826086956,48550.0,382491200,97871800,289509700,24275000,1612205180,44035184,431572984,212139300,7013.998363766882,0,346.56601441812563,0,0.0,0.0,0.0,0,0.0,0,8200.468849563496,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t11,24,100000000,1000,0.5,93.22495470833333,72.0211083788973,25.059350708333334,30156.0,142115.53200001363,5176.0,71070.95999999996,49.68349874246807,1.136616234443286,16127520.0,67.198,49150.0,450848300,116714300,332898731,24575000,1611399496,50667651,508711792,229176332,6583.118795339086,0,393.6970498474059,0,0.0,0.0,0.0,0,0.0,0,7712.138645392529,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t13,32,100000000,1000,0.5,65.24135187499999,77.24558694623155,12.35856790625,50997.39999999991,145621.68800000055,7414.0,91089.43999999994,40.014686664962866,1.1888285968089576,16127570.0,50.39865625000001,159220.0,310442100,50164000,246196789,79575001,1612674086,36056801,1287339724,263856238,12717.226433868846,0,455.4036189997487,0,0.0,0.0,0.0,0,0.0,0,13465.671595287316,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t2,12,100000000,1000,0.5,99.991098,99.99704023652185,0.0029595,24444920.4,25902464.168000016,14423548.0,25395644.08,0.0,0,12006240.0,100.05199999999999,0.0,19100,15400,15384,0,1199857662,3479,25433,6602,0,0,0,0,0.0,0.0,0.0,0,0.0,0,14467164.677072702,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t3,16,100000000,1000,0.5,99.9932724375,99.98835990440529,0.0116393125,963260.3,1301320.3720000004,285556.0,1223630.5800000003,0.20433030274627423,1.0020387359836902,16014140.0,100.08837499999998,0.0,159600,22600,148114,0,1599706130,17900,58139,110190,228607.14610941216,0,0,0,0.0,0.0,0.0,0,0.0,0,372411.92766096303,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t4,17,100000000,1000,0.5,98.91846776470588,95.94735611470475,3.8091073529411767,37113.0,153064.56000000238,8507.0,77845.12000000011,22.123659080841296,1.1325382243951048,16126220.0,94.86011764705881,6790.0,56292000,7347600,51134962,3395000,1613464127,6196948,33191550,47067444,9481.69631301965,0,276.7025036818851,0,0.0,0.0,0.0,0,0.0,0,11731.78671987974,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t5,18,100000000,1000,0.5,97.53248066666667,91.77920000407931,7.4996168333333335,34110.0,183044.68000000436,7059.0,74227.80000000005,30.0972499020061,1.1466726787488155,16127200.000000002,89.59555555555558,18660.0,112119100,19785600,97074040,9330000,1611261549,12988889,86689174,88993655,8508.327479182784,0,269.0610932475884,0,0.0,0.0,0.0,0,0.0,0,10083.584118719693,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t6,19,100000000,1000,0.5,95.95943642105263,88.35799798021236,10.425283736842106,37280.0,151951.15800000355,6588.0,78936.47999999952,34.75379818601915,1.1515705929342643,16127130.0,84.87963157894737,28360.0,158863900,34197900,131894195,14180000,1610968901,18576317,151778556,118612700,8427.278215072221,0,282.8822284908322,0,0.0,0.0,0.0,0,0.0,0,10076.345536072262,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t7,20,100000000,1000,0.5,94.60337655,85.27890625273882,13.03490175,39902.0,166065.7320000003,6327.0,85051.65999999992,38.232751345896176,1.1553333333333333,16127349.999999998,80.63674999999999,35670.0,205750400,47687100,165668284,17835000,1613534496,24233965,218852300,143323717,8987.984192792794,0,293.6930193439865,0,0.0,0.0,0.0,0,0.0,0,10420.973223985367,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t8,21,100000000,1000,0.5,94.27526785714285,81.52898389941562,16.426933238095238,34495.0,142802.20000000484,5856.0,72715.5,41.95223232030288,1.1449096880131362,16127500.0,76.79761904761904,41440.0,262350400,70320900,209408890,20720000,1614095027,31245848,283793847,170811985,7585.396576354679,0,308.44618725868725,0,0.0,0.0,0.0,0,0.0,0,8966.532211254633,0,0,0,0,0,0,"dag2-varyload-warn"
ab-02.ucsd.edu_22-09-06_00:00:04_t9,22,100000000,1000,0.5,93.73248995454546,78.15934900488874,19.461786,34580.64999999991,151336.88400000334,5585.0,74695.59000000008,45.066297063750994,1.146582717317534,16127470.000000002,73.30668181818183,44440.0,324169900,81406600,249983836,22220000,1611735487,37713953,358195141,192301794,7482.0391177675465,0,327.03375337533754,0,0.0,0.0,0.0,0,0.0,0,8716.486445061062,0,0,0,0,0,0,"dag2-varyload-warn"
