Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-02.ucsd.edu_22-09-06_17:31:49_t0,4,100000000,1000,0.5,99.97613775,99.99847463601384,0.0015249999999999999,72939213.0,75139825.44,52673304.0,74741949.8,0.0,0,3998800.0000000005,99.97,0.0,2400,3700,2558,0,399898451,798,4343,959,0,0,0,0,0.0,0.0,0.0,0,0.0,0,52698157.875488415,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t1,8,100000000,1000,0.5,99.98770300000001,99.99759970483571,0.0024000000000000002,48327370.69999999,50470400.708000004,30249523.0,49961408.74,0.0,0,8001740.0,100.02175,0.0,7200,12000,6125,0,799882424,1944,15498,1758,0,0,0,0,0.0,0.0,0.0,0,0.0,0,30226463.125467278,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t10,23,100000000,1000,0.5,93.18121686956522,75.19610954547349,22.071914782608694,34402.0,138634.40800000192,5389.0,77278.75999999978,47.46996019032044,1.1446740027949458,16127570.0,70.1198695652174,47870.0,381983300,98370500,288811578,23935000,1611578948,43929060,433174283,211271154,7315.164361973063,0,365.64737831627326,0,0.0,0.0,0.0,0,0.0,0,8480.636073121956,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t13,32,100000000,1000,0.5,65.61902225,76.79972093572303,12.734733749999998,47431.0,149062.6710000015,7026.0,90639.02000000002,40.18272642711958,1.180827240428538,16124489.999999998,50.389031249999995,159360.0,320560300,50431700,257208350,79650001,1612647231,37636626,1280133620,269510490,11786.845632313201,0,480.167786077459,0,0.0,0.0,0.0,0,0.0,0,12518.998466255554,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t2,12,100000000,1000,0.5,99.99134975,99.9970818309044,0.0029179166666666667,24578869.25,26029966.705000024,14543832.0,25534432.749999996,0.0,0,11987050.0,99.89208333333333,0.0,17500,15500,15365,0,1199861182,3098,25241,6676,0,0,0,0,0.0,0.0,0.0,0,0.0,0,14565798.360711098,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t3,16,100000000,1000,0.5,99.99316875000001,99.98614742869623,0.013851625,887653.1499999997,1151698.6490000002,257455.0,1053538.96,0.35404259334291693,1.0,16024509.999999998,100.1531875,0.0,196500,21100,192409,0,1599669074,18442,48070,155115,220672.11738193218,0,0,0,0.0,0.0,0.0,0,0.0,0,345426.04647303367,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t4,17,100000000,1000,0.5,98.76537976470588,95.95892894253129,3.7594144705882355,37556.0,138237.42000000924,8694.0,75247.0,21.606568241329686,1.1306916550556532,16126900.0,94.8641176470588,7880.000000000001,55269000,7582700,50661707,3940000,1611161410,6152167,34984184,47619902,9791.58614521791,0,277.3972081218274,0,0.0,0.0,0.0,0,0.0,0,11954.808873160553,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t5,18,100000000,1000,0.5,97.05575344444445,92.1511189225612,7.051124000000001,37254.0,174653.79600000288,7195.0,82132.99000000022,29.748537141313662,1.1493638399836936,16123670.0,89.57594444444445,20400.0,105050800,19054200,91476385,10200000,1609883330,12117411,91017215,86911978,9072.251487616131,0,280.7583333333333,0,0.0,0.0,0.0,0,0.0,0,10733.584533662975,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t6,19,100000000,1000,0.5,95.68051868421053,88.65495440141721,10.07763005263158,37809.05000000005,165612.72200000053,6730.0,80597.44000000041,34.17513984183406,1.1517234428542633,16127389.999999998,84.881,29540.0,153074500,33422300,127455754,14770000,1611684884,18037242,153452579,116758630,8940.433352146745,0,279.84664861205147,0,0.0,0.0,0.0,0,0.0,0,10457.438472348516,0,0,0,0,0,0,"varycores warn test 1000ns delay"
ab-02.ucsd.edu_22-09-06_17:31:49_t7,20,100000000,1000,0.5,94.98528705,84.87341977243622,13.49452565,36164.0,168335.68000000063,6162.0,80495.3600000001,38.91965432796134,1.1508505565654188,16127639.999999998,80.6382,34940.0,213205600,49085900,171652019,17470000,1612345228,25172450,215794503,146634394,8365.687849014927,0,294.8849456210647,0,0.0,0.0,0.0,0,0.0,0,9698.606112980611,0,0,0,0,0,0,"varycores warn test 1000ns delay"
