Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
ab-05_22-09-07_14:36:06_t0,16,100000000,1000,0.5,99.9932280625,99.98734789320723,0.01265125,1151021.5999999992,1468684.8220000016,337783.0,1370868.1600000001,0.17681836797272144,1.0,15992980.0,99.956125,0.0,176800,19600,167935,0,1599689229,21447,53920,127087,145402.2111679119,0,0,0,0.0,0.0,0.0,0,0.0,0,445649.36001693783,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t1,17,100000000,1000,0.5,98.67737747058824,96.20776117135381,3.3900230000000002,32999.25,135182.7500000042,8537.0,66132.25,21.438452995433614,1.1304382756914138,16125750.000000002,94.85735294117647,11970.0,50494300,6110300,46627973,5985000,1613900026,5473070,31303854,49237382,9260.881767114219,0,244.09106098579784,0,0.0,0.0,0.0,0,0.0,0,10960.969372555935,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t10,26,100000000,1000,0.5,76.68765942307692,80.76093222791594,13.74745226923077,14720.0,112001.62400000496,5521.0,50600.75999999978,42.33088937861366,1.1467145337757678,16127079.999999998,62.02723076923077,52410.0,291813600,43503400,243671010,26170001,1610275385,36815631,721452690,231404802,6001.251486218406,0,315.38013371537727,0,0.0,0.0,0.0,0,0.0,0,6188.938766568684,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t11,27,100000000,1000,0.5,74.03188581481481,80.55235906140837,13.444307148148148,13530.0,111418.52000000235,5489.0,42290.840000000084,42.4441846575233,1.1443468635524818,16127160.000000002,59.73022222222223,51550.0,298167900,42199100,248240082,25735001,1610129623,37768714,818238343,233814736,5725.598921975502,0,309.0545843045843,0,0.0,0.0,0.0,0,0.0,0,5889.466707127293,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t12,28,100000000,1000,0.5,71.77325567857142,80.2345030767601,13.30651917857143,13122.0,118637.29500000621,5466.0,41504.0,42.60467083572716,1.1423353474466789,16127450.000000002,57.59803571428572,49340.0,308054200,40708200,257744837,24635001,1612433621,39475676,909977475,238063977,5709.396999687939,0,321.875,0,0.0,0.0,0.0,0,0.0,0,5826.611346705739,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t13,29,100000000,1000,0.5,69.77501489655172,79.73382179418525,13.303487448275861,12136.0,100807.75000001164,5433.0,32681.0,42.60794447054545,1.1397863891817082,16127250.0,55.61120689655172,48660.0,319848800,39927200,270779605,24280001,1613394295,41811543,999975805,244771209,5371.177971828982,0,332.0395305744287,0,0.0,0.0,0.0,0,0.0,0,5498.517430798291,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t14,30,100000000,1000,0.5,67.50528516666667,79.54063606639433,13.0213186,11597.75,80819.39000000386,5410.0,25848.550000000047,42.3562631660887,1.1382356720114888,16127460.0,53.7582,47490.0,326601200,37372300,278068635,23695001,1610823996,43022781,1097233253,248872385,5114.545150708369,0,344.9837552742616,0,0.0,0.0,0.0,0,0.0,0,5252.409789301249,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t16,32,100000000,1000,0.5,60.70356815625,82.93010798874575,8.737971,46169.0,146745.90600000042,6881.0,93760.51000000001,37.55813552899025,1.1970831040176115,16124489.999999998,50.389031249999995,104010.0,230126300,24348200,200466814,51970001,1610929108,30131018,1321854388,237012240,12185.408816730875,0,351.0016354016354,0,0.0,0.0,0.0,0,0.0,0,11864.883417507837,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t2,18,100000000,1000,0.5,96.81657444444444,92.543727849078,6.5169628333333325,33631.0,169599.26000000816,7238.0,75733.25999999978,28.984519782574246,1.1485266888350656,16126290.000000002,89.59050000000002,25270.0,98616300,15837500,87012371,12635000,1612758009,11421092,83809386,91940196,8833.588418873405,0,261.30154333201426,0,0.0,0.0,0.0,0,0.0,0,10192.62187347144,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
ab-05_22-09-07_14:36:06_t3,19,100000000,1000,0.5,94.4202007368421,89.87518880702677,8.564340684210526,37744.0,167618.33600000292,6807.0,80833.83999999985,32.863830036407975,1.1563578889557344,16127039.999999998,84.87915789473684,37850.0,133657000,24445700,114611959,18915001,1612346340,15704641,146857322,125021334,9095.766862382166,0,272.8723572938689,0,0.0,0.0,0.0,0,0.0,0,10363.192947806048,0,0,0,0,0,0,"varycores morecores delayrange warn 7ms delay"
